Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter,Batting Style,Playing Role
2.0,-,9.0,0,0,22.22,2,1,1,v West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-11,ODI # 4215,Ibrahim Zadran,Right hand Bat,Opening Batter
19.0,63,23.0,1,1,82.6,2,1,1,v Bangladesh,Chattogram,2022-02-23,ODI # 4357,Ibrahim Zadran,Right hand Bat,Opening Batter
5.0,23,18.0,0,0,27.77,2,1,1,v Zimbabwe,Harare,2022-06-04,ODI # 4397,Ibrahim Zadran,Right hand Bat,Opening Batter
121.0,-,141.0,16,0,85.81,2,0,2,v Zimbabwe,Harare,2022-06-06,ODI # 4400,Ibrahim Zadran,Right hand Bat,Opening Batter
8.0,-,30.0,0,0,26.66,2,1,2,v Zimbabwe,Harare,2022-06-09,ODI # 4403,Ibrahim Zadran,Right hand Bat,Opening Batter
106.0,174,120.0,11,0,88.33,2,1,1,v Sri Lanka,Pallekele,2022-11-25,ODI # 4485,Ibrahim Zadran,Right hand Bat,Opening Batter
10.0,25,18.0,2,0,55.55,2,1,1,v Sri Lanka,Pallekele,2022-11-27,ODI # 4488,Ibrahim Zadran,Right hand Bat,Opening Batter
162.0,226,138.0,15,4,117.39,2,1,1,v Sri Lanka,Pallekele,2022-11-30,ODI # 4490,Ibrahim Zadran,Right hand Bat,Opening Batter
98.0,131,98.0,11,2,100.0,2,1,2,v Sri Lanka,Hambantota,2023-06-02,ODI # 4579,Ibrahim Zadran,Right hand Bat,Opening Batter
54.0,123,75.0,2,2,72.0,2,1,2,v Sri Lanka,Hambantota,2023-06-04,ODI # 4580,Ibrahim Zadran,Right hand Bat,Opening Batter
22.0,45,21.0,4,0,104.76,2,1,1,v Sri Lanka,Hambantota,2023-06-07,ODI # 4583,Ibrahim Zadran,Right hand Bat,Opening Batter
41.0,97,58.0,5,0,70.68,2,0,2,v Bangladesh,Chattogram,2023-07-05,ODI # 4615,Ibrahim Zadran,Right hand Bat,Opening Batter
100.0,223,119.0,9,1,84.03,2,1,1,v Bangladesh,Chattogram,2023-07-08,ODI # 4619,Ibrahim Zadran,Right hand Bat,Opening Batter
1.0,12,6.0,0,0,16.66,2,1,1,v Bangladesh,Chattogram,2023-07-11,ODI # 4621,Ibrahim Zadran,Right hand Bat,Opening Batter
3.0,-,16.0,0,0,18.75,4,1,2,v Scotland,Sharjah,2013-03-06,ODI # 3341,Rahmat Shah,Right hand Bat,Allrounder
35.0,-,45.0,4,0,77.77,4,1,2,v Scotland,Sharjah,2013-03-08,ODI # 3342,Rahmat Shah,Right hand Bat,Allrounder
9.0,28,23.0,1,0,39.13,3,1,1,v India,Mirpur,2014-03-05,ODI # 3483,Rahmat Shah,Right hand Bat,Allrounder
23.0,-,41.0,3,0,56.09,3,1,2,v Hong Kong,Kuala Lumpur,2014-05-01,ODI # 3487,Rahmat Shah,Right hand Bat,Allrounder
7.0,-,13.0,0,0,53.84,3,1,1,v U.A.E.,Kuala Lumpur,2014-05-02,ODI # 3488,Rahmat Shah,Right hand Bat,Allrounder
22.0,68,32.0,2,0,68.75,3,1,1,v Zimbabwe,Bulawayo,2014-07-20,ODI # 3504,Rahmat Shah,Right hand Bat,Allrounder
100.0,-,123.0,8,1,81.30,4,0,1,v Scotland,Edinburgh,2016-07-04,ODI # 3759,Rahmat Shah,Right hand Bat,Allrounder
26.0,-,31.0,1,0,83.87,4,1,1,v Scotland,Edinburgh,2016-07-06,ODI # 3760,Rahmat Shah,Right hand Bat,Allrounder
14.0,-,26.0,0,0,53.84,3,1,1,v Ireland,Belfast,2016-07-12,ODI # 3761,Rahmat Shah,Right hand Bat,Allrounder
16.0,-,28.0,2,0,57.14,3,1,1,v Ireland,Belfast,2016-07-14,ODI # 3762,Rahmat Shah,Right hand Bat,Allrounder
48.0,-,70.0,4,0,68.57,3,1,1,v Ireland,Belfast,2016-07-17,ODI # 3763,Rahmat Shah,Right hand Bat,Allrounder
30.0,-,56.0,2,0,53.57,3,1,2,v Ireland,Belfast,2016-07-19,ODI # 3764,Rahmat Shah,Right hand Bat,Allrounder
71.0,134,93.0,2,3,76.34,3,1,2,v Bangladesh,Mirpur,2016-09-25,ODI # 3781,Rahmat Shah,Right hand Bat,Allrounder
0.0,2,2.0,0,0,0.00,3,1,2,v Bangladesh,Mirpur,2016-09-28,ODI # 3783,Rahmat Shah,Right hand Bat,Allrounder
36.0,102,73.0,1,0,49.31,3,1,2,v Bangladesh,Mirpur,2016-10-01,ODI # 3786,Rahmat Shah,Right hand Bat,Allrounder
31.0,85,56.0,3,0,55.35,3,1,1,v Zimbabwe,Harare,2017-02-16,ODI # 3835,Rahmat Shah,Right hand Bat,Allrounder
53.0,105,66.0,3,0,80.30,3,1,1,v Zimbabwe,Harare,2017-02-19,ODI # 3837,Rahmat Shah,Right hand Bat,Allrounder
10.0,31,24.0,0,0,41.66,3,1,2,v Zimbabwe,Harare,2017-02-21,ODI # 3838,Rahmat Shah,Right hand Bat,Allrounder
1.0,9,8.0,0,0,12.50,3,1,1,v Zimbabwe,Harare,2017-02-24,ODI # 3840,Rahmat Shah,Right hand Bat,Allrounder
50.0,120,79.0,1,0,63.29,4,1,1,v Zimbabwe,Harare,2017-02-26,ODI # 3842,Rahmat Shah,Right hand Bat,Allrounder
78.0,-,92.0,4,3,84.78,3,1,1,v Ireland,Greater Noida,2017-03-15,ODI # 3850,Rahmat Shah,Right hand Bat,Allrounder
68.0,73,70.0,5,2,97.14,3,1,1,v Ireland,Greater Noida,2017-03-17,ODI # 3851,Rahmat Shah,Right hand Bat,Allrounder
8.0,33,18.0,1,0,44.44,3,1,1,v Ireland,Greater Noida,2017-03-19,ODI # 3852,Rahmat Shah,Right hand Bat,Allrounder
0.0,10,4.0,0,0,0.00,3,1,1,v Ireland,Greater Noida,2017-03-22,ODI # 3853,Rahmat Shah,Right hand Bat,Allrounder
108.0,164,128.0,10,1,84.37,3,0,2,v Ireland,Greater Noida,2017-03-24,ODI # 3854,Rahmat Shah,Right hand Bat,Allrounder
